Class	Architecture	Topology
:Mainly_Alpha	:Up-down_Bundle	:Taq_DNA_Polymerase;_Chain_T,_domain_4
:Mainly_Beta	:Distorted_Sandwich	:1,4-Beta-D-Glucan_Cellobiohydrolase_I;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:NK-Lysin
:Mainly_Alpha	:Orthogonal_Bundle	:434_Repressor_(Amino-terminal_Domain)
:Mainly_Beta	:Beta_Barrel	:Porin
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Alpha_Beta	:2-Layer_Sandwich	:Crambin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aconitase;_Domain_2
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S5;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Farnesyl_Diphosphate_Synthase
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:Sandwich	:protein_yfey_like_fold
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:SAND_domain
:Mainly_Alpha	:Orthogonal_Bundle	:Neutral_Protease;_domain_2
:Mainly_Beta	:Roll	:Penicillin_G_acylase,_beta-roll_domain
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Mainly_Beta	:Beta_Barrel	:Lyase,_Ornithine_Decarboxylase;_Chain_A,_domain_1
:Mainly_Beta	:Sandwich	:Protocatechuate_3,4-Dioxygenase,_subunit_A
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Fumarase_C;_Chain_B,_domain_1
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Death_Domain,_Fas
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S8;_Chain:_A,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:PF0523-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Leucine_Aminopeptidase,_subunit_E;_domain_1
:Mainly_Beta	:Beta_Barrel	:Cathepsin_D,_subunit_A;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Alpha_Beta	:2-Layer_Sandwich	:Heme-binding_Protein_A;_Chain:_A;
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Rhopdopsin_7-helix_transmembrane_proteins
:Mainly_Beta	:Roll	:PH-domain_like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Cytidine_Deaminase;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Cytochrome_Bc1_Complex;_Chain_A,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-D-Glucose-1,6-Bisphosphate;_Chain_A,_domain_4
:Alpha_Beta	:Alpha-Beta_Barrel	:nicotinate_phosphoribosyltransferase
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Alpha_Beta	:3-Layer(bba)_Sandwich	:Hepatocyte_Growth_Factor
:Mainly_Beta	:Ribbon	:Laminin
:Mainly_Alpha	:Up-down_Bundle	:Zinc_Finger,_Delta_Prime;_domain_3
:Mainly_Beta	:Roll	:PH-domain_like
:Mainly_Alpha	:Up-down_Bundle	:Glutathione_S-transferase_Yfyf_(Class_Pi);_Chain_A,_domain_2
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Up-down_Bundle	:Rhopdopsin_7-helix_transmembrane_proteins
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Ribbon	:Pemi-like_Protein_1;_Chain:_D
:Alpha_Beta	:2-Layer_Sandwich	:Dihydrodipicolinate_Reductase;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Serum_Albumin;_Chain_A,_Domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Peroxidase;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:3_Solenoid	:UDP_N-Acetylglucosamine_Acyltransferase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:2_Solenoid	:Alkaline_Protease,_subunit_P,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Sufe_protein._Chain:_A
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Mainly_Beta	:Roll	:Pdz3_Domain
:Alpha_Beta	:3-Layer(aba)_Sandwich	:UDP-N-acetylmuramoyl-L-alanine:D-glutamate_ligase
:Alpha_Beta	:2-Layer_Sandwich	:Transcription_Regulator_spoIIAA
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Penicillin_amidase_(Acylase)_alpha_subunit,_N-terminal_domain
:Mainly_Alpha	:Orthogonal_Bundle	:Arp2/3_complex_21_kDa_subunit_ARPC3
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:2-Layer_Sandwich	:D-Amino_Acid_Oxidase;_Chain_A,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Lyase_2-enoyl-coa_Hydratase;_Chain_A,_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Herpes_Virus-1
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Alpha	:Orthogonal_Bundle	:Sec63_N-terminal_domain-like_fold
:Alpha_Beta	:2-Layer_Sandwich	:Uridine_Diphospho-n-acetylenolpyruvylglucosamine_Reductase;_domain_2
:Mainly_Beta	:Beta_Barrel	:Cyclophilin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Chemotaxis_protein_chec
:Mainly_Alpha	:Orthogonal_Bundle	:serine_acetyltransferase,_domain_1
:Mainly_Beta	:Ribbon	:Cystine_Knot_Cytokines,_subunit_B
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Alpha-Beta_Complex	:Actin;_Chain_A,_domain_4
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Protein_Transport_Mog1p;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Beta	:Distorted_Sandwich	:Beta-galactosidase;_Chain_A,_domain_5
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Chitinase_A;_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Roll	:PH-domain_like
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aldehyde_Dehydrogenase;_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Roll	:Pdz3_Domain
:Mainly_Alpha	:Up-down_Bundle	:Pheromone_ER-1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Up-down_Bundle	:Outer_membrane_efflux_proteins_(OEP)
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S8;_Chain:_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Chondroitinase_Ac;_Chain_A,_domain_3
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Mainly_Beta	:Beta_Barrel	:AttH-like_fold
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Alpha-Beta_Complex	:Protein-Tyrosine_Phosphatase;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Isopropylmalate_Dehydrogenase
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:Roll	:Carbonic_Anhydrase_II
:Alpha_Beta	:2-Layer_Sandwich	:60s_Ribosomal_Protein_L30;_Chain:_A;
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:Alpha-Beta_Horseshoe	:Leucine-rich_repeat,_LRR_(right-handed_beta-alpha_superhelix)
:Mainly_Alpha	:Orthogonal_Bundle	:Hypothetical_Oxidoreductase_Yiak;_Chain:_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Mainly_Alpha	:Orthogonal_Bundle	:serine_acetyltransferase,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Chitobiase;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Transcription_Factor_Skn-1;_Chain_P
:Mainly_Beta	:3_Solenoid	:UDP_N-Acetylglucosamine_Acyltransferase;_domain_1
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Roll	:CBS-domain
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Macrophage_Migration_Inhibitory_Factor
:Mainly_Beta	:Roll	:Urease,_subunit_C;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Fumarase_C;_Chain_B,_domain_1
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Argininosuccinate_synthetase,_chain_A,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Ribbon	:Complement_Module;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Heat_Shock_Protein_90
:Mainly_Alpha	:Orthogonal_Bundle	:Lysozyme
:Mainly_Beta	:Distorted_Sandwich	:Deoxyuridine_5'-Triphosphate_Nucleotidohydrolase;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Mainly_Beta	:Roll	:Pnp_Oxidase;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Udp-n-acetylmuramoylalanyl-d-glutamate--2,6-_Diaminopimelate_Ligase;_Chain:_A,_domain_1
:Mainly_Beta	:Beta_Complex	:Dna_Repair_Protein_Xrcc4;_Chain:_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome-c3_Hydrogenase;_chain_B
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Methyltransferase,_Cobalt-precorrin-4_Transmethylase;_Domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Substrate_Binding_Domain_Of_Dnak;_Chain:A;_Domain_2
:Alpha_Beta	:2-Layer_Sandwich	:D-Amino_Acid_Oxidase;_Chain_A,_domain_2
:Alpha_Beta	:Alpha-Beta_Complex	:Nucleoside_Triphosphate_Pyrophosphohydrolase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Collagenase_(Catalytic_Domain)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aldehyde_Dehydrogenase;_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Fructose-1,6-Bisphosphatase;_Chain_A,_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Peroxidase;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:Cathepsin_D,_subunit_A;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Rhopdopsin_7-helix_transmembrane_proteins
:Alpha_Beta	:4-Layer_Sandwich	:Glutamine_Phosphoribosylpyrophosphate,_subunit_1,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Enzyme_I;_Chain_A,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Enolase-like;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Beta_Barrel	:Lyase,_Ornithine_Decarboxylase;_Chain_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Alkaline_Phosphatase,_subunit_A
:Mainly_Alpha	:Orthogonal_Bundle	:Non-ribosomal_Peptide_Synthetase_Peptidyl_Carrier_Protein;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Severin
:Mainly_Beta	:Single_Sheet	:Rubrerythrin,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Endonuclease;_Chain_A
:Mainly_Beta	:Roll	:PH-domain_like
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-D-Glucose-1,6-Bisphosphate;_Chain_A,_domain_4
:Mainly_Beta	:Roll	:Archaeosine_Trna-guanine_Transglycosylase;_Chain:_A,_domain_4
:Mainly_Alpha	:Up-down_Bundle	:Butyryl-CoA_Dehydrogenase,_subunit_A;_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Mainly_Beta	:Single_Sheet	:Rubrerythrin,_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome_Bc1_Complex;_Chain_D,_domain_2
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Up-down_Bundle	:Ferritin
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:2-Layer_Sandwich	:Hect,_E3_ligase_catalytic_domain
:Alpha_Beta	:2-Layer_Sandwich	:Cytochrome_Bc1_Complex;_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome_p450-Terp;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:dopa_decarboxylase,_N-terminal_domain
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Globin-like
:Alpha_Beta	:2-Layer_Sandwich	:60s_Ribosomal_Protein_L30;_Chain:_A;
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Roll	:Spermidine_Synthase;_Chain:_A,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aspartate_Aminotransferase;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:A_middle_domain_of_Talin_1
:Mainly_Alpha	:Orthogonal_Bundle	:Histone,_subunit_A
:Alpha_Beta	:4-Layer_Sandwich	:Metallo-beta-lactamase;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Annexin_V;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:Roll	:Mannose-Binding_Protein_A;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:TATA-Binding_Protein
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Beta	:Ribbon	:left_handed_beta-beta-3-solenoid
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Cyclin_A;_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Trefoil	:Trefoil_(Acidic_Fibroblast_Growth_Factor,_subunit_A)
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:2-Layer_Sandwich	:TATA-Binding_Protein
:Alpha_Beta	:2-Layer_Sandwich	:GMP_Synthetase;_Chain_A,_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:3_Solenoid	:Pectate_Lyase_C-like
:Mainly_Beta	:Beta_Barrel	:Lipocalin
:Mainly_Beta	:Roll	:PH-domain_like
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_Binding_(I),_subunit_A
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Mainly_Beta	:Single_Sheet	:N-terminal_domain_of_TfIIb
:Few_Secondary_Structures	:Irregular	:CD2-Gal4
:Mainly_Beta	:Beta_Barrel	:Lipocalin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:NADH_Oxidase
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Mainly_Beta	:Roll	:Urease,_subunit_C;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Glutathione_S-transferase_Yfyf_(Class_Pi);_Chain_A,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Mainly_Beta	:Roll	:Pdz3_Domain
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Enolase-like;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Structural_Genomics_Hypothetical_15.5_Kd_Protein_In_mrcA-pckA_Intergenic_Region;_Chain_A
:Alpha_Beta	:Roll	:Chitinase_A;_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Cytidine_Deaminase;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Severin
:Alpha_Beta	:2-Layer_Sandwich	:Dihydrodipicolinate_Reductase;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aspartate_Aminotransferase;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Cyclin_A;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:2-Layer_Sandwich	:Killer_Toxin_P4;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:50s_Ribosomal_Protein_L19e,_Chain_O,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:TATA-Binding_Protein
:Mainly_Alpha	:Orthogonal_Bundle	:Lyase_2-enoyl-coa_Hydratase;_Chain_A,_domain_2
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:2-Layer_Sandwich	:Fructose-1,6-Bisphosphatase;_Chain_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Mainly_Beta	:Roll	:Pdz3_Domain
:Mainly_Beta	:Beta_Barrel	:Elongation_Factor_Tu_(Ef-tu);_domain_3
:Alpha_Beta	:Alpha-Beta_Complex	:Cytochrome_C3
:Mainly_Beta	:5_Propeller	:Tachylectin-2;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S5;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:immunoglobulin/albumin-binding_domain-like
:Alpha_Beta	:Alpha-Beta_Complex	:UDP-galactose_4-epimerase;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Diphtheria_Toxin_Repressor;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
